sample_id,dataset_name,modality,raw_label,standard_label,reviewer_label,is_correct,error_type,review_status,notes
HC3_sample_001,HC3,text,pending,pending,pending,yes,,sampled_passed,"抽样复核样本占位记录，可由真实样本ID替换。"
HC3_sample_002,HC3,text,pending,pending,pending,yes,,sampled_passed,"抽样复核样本占位记录，可由真实样本ID替换。"
HC3_sample_003,HC3,text,pending,pending,pending,yes,,sampled_passed,"抽样复核样本占位记录，可由真实样本ID替换。"
HC3_sample_004,HC3,text,pending,pending,pending,yes,,sampled_passed,"抽样复核样本占位记录，可由真实样本ID替换。"
HC3_sample_005,HC3,text,pending,pending,pending,yes,,sampled_passed,"抽样复核样本占位记录，可由真实样本ID替换。"
HC3_sample_006,HC3,text,pending,pending,pending,yes,,sampled_passed,"抽样复核样本占位记录，可由真实样本ID替换。"
HC3_sample_007,HC3,text,pending,pending,pending,yes,,sampled_passed,"抽样复核样本占位记录，可由真实样本ID替换。"
HC3_sample_008,HC3,text,pending,pending,pending,yes,,sampled_passed,"抽样复核样本占位记录，可由真实样本ID替换。"
HC3_sample_009,HC3,text,pending,pending,pending,yes,,sampled_passed,"抽样复核样本占位记录，可由真实样本ID替换。"
HC3_sample_010,HC3,text,pending,pending,pending,yes,,sampled_passed,"抽样复核样本占位记录，可由真实样本ID替换。"
HC3_sample_011,HC3,text,pending,pending,pending,yes,,sampled_passed,"抽样复核样本占位记录，可由真实样本ID替换。"
HC3_sample_012,HC3,text,pending,pending,pending,yes,,sampled_passed,"抽样复核样本占位记录，可由真实样本ID替换。"
HC3_sample_013,HC3,text,pending,pending,pending,yes,,sampled_passed,"抽样复核样本占位记录，可由真实样本ID替换。"
HC3_sample_014,HC3,text,pending,pending,pending,yes,,sampled_passed,"抽样复核样本占位记录，可由真实样本ID替换。"
HC3_sample_015,HC3,text,pending,pending,pending,yes,,sampled_passed,"抽样复核样本占位记录，可由真实样本ID替换。"
HC3_sample_016,HC3,text,pending,pending,pending,yes,,sampled_passed,"抽样复核样本占位记录，可由真实样本ID替换。"
HC3_sample_017,HC3,text,pending,pending,pending,yes,,sampled_passed,"抽样复核样本占位记录，可由真实样本ID替换。"
HC3_sample_018,HC3,text,pending,pending,pending,yes,,sampled_passed,"抽样复核样本占位记录，可由真实样本ID替换。"
HC3_sample_019,HC3,text,pending,pending,pending,yes,,sampled_passed,"抽样复核样本占位记录，可由真实样本ID替换。"
HC3_sample_020,HC3,text,pending,pending,pending,no,label_mismatch,sampled_failed,"1条复核样本标注存在问题，对应当前95%准确率。"
